Start Date,Rank,Strategy Name,Parameters,Final Portfolio Value
2024-08-16 14:15:00-04:00,1,Geometric_Brownian_Motion,"{'threshold': 0.2, 'time_periods': 30, 'num_simulations': 150, 'take_profit_pct': 0.01, 'stop_loss_pct': 0.02}",984489.97
2024-08-16 14:15:00-04:00,2,Geometric_Brownian_Motion,"{'threshold': 0.1, 'time_periods': 30, 'num_simulations': 150, 'take_profit_pct': 0.01, 'stop_loss_pct': 0.02}",983957.57
2024-08-16 14:15:00-04:00,3,Geometric_Brownian_Motion,"{'threshold': 0.1, 'time_periods': 30, 'num_simulations': 150, 'take_profit_pct': 0.02, 'stop_loss_pct': 0.02}",935578.43
2024-08-20 14:45:00-04:00,1,Geometric_Brownian_Motion,"{'threshold': 0.1, 'time_periods': 30, 'num_simulations': 150, 'take_profit_pct': 0.02, 'stop_loss_pct': 0.02}",1003870.26
2024-08-20 14:45:00-04:00,2,Geometric_Brownian_Motion,"{'threshold': 0.1, 'time_periods': 30, 'num_simulations': 150, 'take_profit_pct': 0.01, 'stop_loss_pct': 0.02}",999904.16
2024-08-20 14:45:00-04:00,3,Geometric_Brownian_Motion,"{'threshold': 0.2, 'time_periods': 30, 'num_simulations': 150, 'take_profit_pct': 0.01, 'stop_loss_pct': 0.02}",999334.06
2024-09-09 15:15:00-04:00,1,Geometric_Brownian_Motion,"{'threshold': 0.2, 'time_periods': 30, 'num_simulations': 150, 'take_profit_pct': 0.02, 'stop_loss_pct': 0.02}",1024568.36
2024-09-09 15:15:00-04:00,2,Geometric_Brownian_Motion,"{'threshold': 0.2, 'time_periods': 30, 'num_simulations': 150, 'take_profit_pct': 0.01, 'stop_loss_pct': 0.02}",1022882.48
2024-09-09 15:15:00-04:00,3,Geometric_Brownian_Motion,"{'threshold': 0.1, 'time_periods': 30, 'num_simulations': 150, 'take_profit_pct': 0.02, 'stop_loss_pct': 0.02}",1020836.65
2024-09-26 11:30:00-04:00,1,Geometric_Brownian_Motion,"{'threshold': 0.2, 'time_periods': 30, 'num_simulations': 150, 'take_profit_pct': 0.02, 'stop_loss_pct': 0.02}",1010612.41
2024-09-26 11:30:00-04:00,2,Geometric_Brownian_Motion,"{'threshold': 0.2, 'time_periods': 30, 'num_simulations': 150, 'take_profit_pct': 0.01, 'stop_loss_pct': 0.02}",1009324.84
2024-09-26 11:30:00-04:00,3,Geometric_Brownian_Motion,"{'threshold': 0.1, 'time_periods': 30, 'num_simulations': 150, 'take_profit_pct': 0.01, 'stop_loss_pct': 0.02}",1008538.49
