Forecasted Prices (Date, Mean, and Std):
2026-02-23 00:00: Mean = 32.71, Std = 0.91
2026-02-24 00:00: Mean = 32.71, Std = 0.91
2026-02-25 00:00: Mean = 32.72, Std = 0.91
2026-02-26 00:00: Mean = 32.71, Std = 0.92
2026-02-27 00:00: Mean = 32.72, Std = 0.92
2026-03-02 00:00: Mean = 32.72, Std = 0.92
2026-03-03 00:00: Mean = 32.72, Std = 0.92
2026-03-04 00:00: Mean = 32.73, Std = 0.92
2026-03-05 00:00: Mean = 32.73, Std = 0.92
2026-03-06 00:00: Mean = 32.74, Std = 0.93
2026-03-09 00:00: Mean = 32.74, Std = 0.93
2026-03-10 00:00: Mean = 32.74, Std = 0.92
2026-03-11 00:00: Mean = 32.74, Std = 0.92
2026-03-12 00:00: Mean = 32.74, Std = 0.91
2026-03-13 00:00: Mean = 32.75, Std = 0.92
2026-03-16 00:00: Mean = 32.74, Std = 0.92
2026-03-17 00:00: Mean = 32.74, Std = 0.92
2026-03-18 00:00: Mean = 32.74, Std = 0.92
2026-03-19 00:00: Mean = 32.75, Std = 0.92
2026-03-20 00:00: Mean = 32.76, Std = 0.92
2026-03-23 00:00: Mean = 32.75, Std = 0.92
2026-03-24 00:00: Mean = 32.76, Std = 0.92
2026-03-25 00:00: Mean = 32.77, Std = 0.93
2026-03-26 00:00: Mean = 32.77, Std = 0.93
2026-03-27 00:00: Mean = 32.77, Std = 0.94
2026-03-30 00:00: Mean = 32.77, Std = 0.94
2026-03-31 00:00: Mean = 32.77, Std = 0.94
2026-04-01 00:00: Mean = 32.78, Std = 0.93
2026-04-02 00:00: Mean = 32.78, Std = 0.94
2026-04-03 00:00: Mean = 32.78, Std = 0.93
2026-04-06 00:00: Mean = 32.78, Std = 0.93
2026-04-07 00:00: Mean = 32.78, Std = 0.94
2026-04-08 00:00: Mean = 32.78, Std = 0.94
2026-04-09 00:00: Mean = 32.79, Std = 0.94
2026-04-10 00:00: Mean = 32.80, Std = 0.94
2026-04-13 00:00: Mean = 32.80, Std = 0.95
2026-04-14 00:00: Mean = 32.81, Std = 0.95
2026-04-15 00:00: Mean = 32.82, Std = 0.95
2026-04-16 00:00: Mean = 32.82, Std = 0.96

95% Confidence Interval:
Lower Bound: 30.91
Upper Bound: 34.73
